Name,Rating,Date,Title,Review,Product_url,Label
Memee,5,09/08/2024,lovely quality,Came as seen. Good product!,https://www.jumia.com.ng/vejaro-bc003-infant-baby-clothes-sets-dinosaur-yellow-stripe-242036916.html,
Folake,4,09/08/2024,good,It's a very nice material,https://www.jumia.com.ng/vejaro-bc003-infant-baby-clothes-sets-dinosaur-yellow-stripe-242036916.html,
Abayomi Olowosoyo,5,09/08/2024,Very good,Nice,https://www.jumia.com.ng/vejaro-bc003-infant-baby-clothes-sets-dinosaur-yellow-stripe-242036916.html,
oladipo,4,05/08/2024,Thumb up,portable & comfortable,https://www.jumia.com.ng/fashion-womens-diamond-rectangular-gold-wristwatch-234192668.html,
Sharon,5,16/07/2024,Like it,Beautiful,https://www.jumia.com.ng/fashion-womens-diamond-rectangular-gold-wristwatch-234192668.html,
Favour,3,09/07/2024,gold and sweet,Perfectly matched,https://www.jumia.com.ng/fashion-womens-diamond-rectangular-gold-wristwatch-234192668.html,
Ayodele,5,07/08/2024,Smart,Recommended,https://www.jumia.com.ng/fashion-canvas-shoes-trendy-anti-slip-breathable-sneaker-for-men-flats-black-249148412.html,
Iheanacho,5,31/07/2024,sharp in my legs,Simple and smart,https://www.jumia.com.ng/fashion-canvas-shoes-trendy-anti-slip-breathable-sneaker-for-men-flats-black-249148412.html,
Chisom,5,25/07/2024,I love it,"it's cool,simple and free..",https://www.jumia.com.ng/fashion-canvas-shoes-trendy-anti-slip-breathable-sneaker-for-men-flats-black-249148412.html,
Moropeda,5,14/07/2024,wallet,Very okay,https://www.jumia.com.ng/fashion-multi-function-unisex-clutchwallet-black-39909458.html,
Akintomide,4,08/07/2024,Good but not unisex it is for female use,It is good and beautiful,https://www.jumia.com.ng/fashion-multi-function-unisex-clutchwallet-black-39909458.html,
Breadfruit,4,13/06/2024,Nice purse,"After using this purse close to two months, I would say the purse seems durable although the quality is different from what was portrayed in the product display image. The purse has enough sections to contains my essentials and it is still in good condition since I started using it",https://www.jumia.com.ng/fashion-multi-function-unisex-clutchwallet-black-39909458.html,
Jenny,3,29/07/2024,Not bad,Good for accessories but it tarnishes sooner,https://www.jumia.com.ng/fashion-a-silver-stainless-stain-kunckle-rings-267752460.html,
Onyekachukwu,3,22/07/2024,Nice,The rings were okay...though majority were of small size.,https://www.jumia.com.ng/fashion-a-silver-stainless-stain-kunckle-rings-267752460.html,
Oluwadamilola,5,16/07/2024,i like it,there are all beautiful piece,https://www.jumia.com.ng/fashion-a-silver-stainless-stain-kunckle-rings-267752460.html,
Collins,4,24/06/2024,I like it.,For a mid range wallet it's pretty good.,https://www.jumia.com.ng/fashion-mens-short-leather-wallet-card-holder-money-organizer-black-268388862.html,
